GUID	Row_ID	Name	Category	Word	Excel	PowerPoint	Log
{guid {07CED099-A431-48E7-BAB6-67ADDEC74408}}	11	DocumentChange	Document	True	False	False	True
{guid {0DB1BA5B-862D-429F-8396-D90EA0B85F69}}	81	WorkbookAfterXmlExport	XML	False	True	False	True
{guid {0E32FD1C-A411-4745-9C17-2880C241B25A}}	22	MailMergeDataSourceValidate	Mail Merge	True	False	False	True
{guid {12B8EFD4-CE3E-47DA-801B-22621C74B8D1}}	17	MailMergeAfterMerge	Mail Merge	True	False	False	True
{guid {1BFA2DA6-61AD-4560-A51B-94A254752141}}	7	ColorSchemeChanged	Presentation	False	False	True	True
{guid {27179E2B-955A-40C6-B7DF-EB51BD3F4693}}	94	WorkbookPivotTableOpenConnection	PivotTable	False	True	False	True
{guid {271E5F45-A9D8-43E2-AF75-EDCC7B860140}}	42	ProtectedViewWindowOpen	Protected View	True	True	True	True
{guid {299D4872-5DB4-4030-A956-F346A923F034}}	28	NewWorkbook	Workbook	False	True	False	True
{guid {2C58F9ED-45A8-47FF-8BD2-240231F1E059}}	83	WorkbookBeforeClose	Workbook	False	True	False	True
{guid {2EB2B7AA-C7DC-4BFC-B9C1-7BBC39B02546}}	65	SlideShowNextBuild	Slide Show	False	False	True	True
{guid {30A2CD7B-7D5C-4B92-9E87-4AE073AD0FF4}}	75	WindowSelectionChange	Window	True	False	True	True
{guid {32251CF1-DE8B-4186-87AB-EFF627A42ED0}}	63	SlideShowBegin	Slide Show	False	False	True	True
{guid {33CB1A8A-75FB-4741-9891-445A55698BB5}}	80	WorkbookAfterSave	Workbook	False	True	False	True
{guid {34590BBF-8889-40B1-A863-1C088DD4CBB7}}	87	WorkbookBeforeXmlImport	XML	False	True	False	True
{guid {38138024-7F41-43E6-B9DC-616151E69C2F}}	72	WindowBeforeRightClick	Window	True	False	True	True
{guid {38ECC54E-5D64-4AB5-B288-9F9EEC5B90CA}}	55	SheetPivotTableAfterValueChange	PivotTable	False	True	False	True
{guid {3DCACD9E-C8C1-4F96-AA9E-495A09D609C0}}	88	WorkbookDeactivate	Workbook	False	True	False	True
{guid {3E03FD8D-D020-4461-BB7C-7C3B24ADCB6E}}	54	SheetLensGalleryRenderComplete	Worksheet	False	True	False	True
{guid {40F79094-D7FC-4AD1-B32C-CABFBEB5DF13}}	74	WindowResize	Window	False	True	False	True
{guid {4349AE68-85AC-400D-956C-DE2DCBDDCBD3}}	2	AfterCalculate	Calculation	False	True	False	True
{guid {43AF8E5D-D890-40C3-99CF-388836DE8A46}}	91	WorkbookNewSheet	Worksheet	False	True	False	True
{guid {4539EAAD-FA46-430F-BD66-4715F13BCB18}}	35	PresentationPrint	Presentation	False	False	True	True
{guid {469981F1-BCCF-4A75-983D-37D48F9B16BE}}	85	WorkbookBeforeSave	Workbook	False	True	False	True
{guid {47247E9A-A72D-40FA-A0D1-DC86A1B55AAB}}	46	SheetActivate	Worksheet	False	True	False	True
{guid {4927A52F-AE85-4435-9005-3A7D6A149DDE}}	24	MailMergeWizardSendToCustom	Mail Merge	True	False	False	True
{guid {4B4F75CC-3D99-47EA-AB9D-E8DCA1D28A10}}	61	SheetTableUpdate	Table	False	True	False	True
{guid {505658F1-D6C6-4146-B278-9BA86B046E07}}	95	WorkbookRowsetComplete	Data	False	True	False	True
{guid {53DA9769-26E6-4D36-BB88-5A187FE60BB8}}	51	SheetChange	Worksheet	False	True	False	True
{guid {54E4D98A-CF3F-4F7B-8F1A-105E1CD6963D}}	62	SlideSelectionChanged	Slide	False	False	True	True
{guid {56129E2E-13E4-41B4-8243-6A2AF5A497CB}}	14	EPostageInsert	E-Postage	True	False	False	True
{guid {57558EBB-EB6B-4186-81C8-4ADEF153BA5B}}	66	SlideShowNextClick	Slide Show	False	False	True	True
{guid {59DFA5FB-A0C1-494D-B32A-7A1AE9C77617}}	92	WorkbookOpen	Workbook	False	True	False	True
{guid {5B710625-DAFE-4C4D-A0EF-3E8ED8DEDEED}}	70	WindowActivate	Window	True	True	True	True
{guid {5D3140D6-C484-4429-B0F5-F7B5D3CB24D3}}	50	SheetCalculate	Worksheet	False	True	False	True
{guid {61C655A6-50ED-451A-8C42-BBB12CAB76BB}}	15	EPostageInsertEx	E-Postage	True	False	False	True
{guid {625EF773-A1CC-4DBB-8A03-032C0C766F98}}	31	PresentationClose	Presentation	False	False	True	True
{guid {634494D8-8C67-45B0-B0BD-069DDBAC03EC}}	5	AfterPresentationOpen	Presentation	False	False	True	True
{guid {63C96599-AE86-48B0-9A1D-0D43249CE5D9}}	76	WindowSize	Window	True	False	False	True
{guid {647358D5-0DB4-4993-AF0A-1D22F9AFA045}}	79	WorkbookAddinUninstall	Workbook/Add-in	False	True	False	True
{guid {67821C6F-D78E-4CA3-B074-396DEE04BC18}}	60	SheetSelectionChange	Worksheet	False	True	False	True
{guid {6A4379A9-5FC0-42A3-AA08-3E1A4AB43369}}	58	SheetPivotTableBeforeDiscardChanges	PivotTable	False	True	False	True
{guid {6AF9CE4F-6947-4CD8-9995-4291667BA949}}	40	ProtectedViewWindowBeforeEdit	Protected View	True	True	True	True
{guid {6DAEE78A-26FD-495A-8B68-3A7B9700B59C}}	16	EPostagePropertyDialog	E-Postage	True	False	False	True
{guid {6F0EFC96-438D-4C8A-B1B4-C064E0F87840}}	73	WindowDeactivate	Window	True	True	True	True
{guid {70F6D7AE-7DEE-4B20-B58F-38005D1CFE95}}	3	AfterDragDropOnSlide	Slide	False	False	True	True
{guid {7562B6AE-0C96-4A5C-9942-2B413537DFFF}}	64	SlideShowEnd	Slide Show	False	False	True	True
{guid {75BAC653-722B-45FD-8A4C-0EBB514B889C}}	38	ProtectedViewWindowActivate	Protected View	True	True	True	True
{guid {792665AC-FB67-40A6-83E6-8EED2CCBB6EF}}	89	WorkbookModelChange	Data Model	False	True	False	True
